supersection,product,mix_prop
Chihuahuan Semi-Desert,hardwood_lumber,0
Chihuahuan Semi-Desert,plywood,0
Chihuahuan Semi-Desert,osb,0
Chihuahuan Semi-Desert,nonstructural_panels,0
Chihuahuan Semi-Desert,misc,0
Chihuahuan Semi-Desert,paper,0
Chihuahuan Semi-Desert,slash,0.25
Chihuahuan Semi-Desert,residue,0.3
Colorado Plateau,softwood_lumber,0.26415909765
Colorado Plateau,hardwood_lumber,0.01818947565
Colorado Plateau,plywood,0
Colorado Plateau,osb,0.144087723
Colorado Plateau,nonstructural_panels,0.00918157815
Colorado Plateau,misc,0.01438212555
Colorado Plateau,paper,0
Colorado Plateau,slash,0.25
Colorado Plateau,residue,0.3
Colorado River Canyon Lands,softwood_lumber,0.18040338585
Colorado River Canyon Lands,hardwood_lumber,0.12795155955
Colorado River Canyon Lands,plywood,0
Colorado River Canyon Lands,osb,0.1221761844
Colorado River Canyon Lands,nonstructural_panels,0.00723938535
Colorado River Canyon Lands,misc,0.01222948485
Colorado River Canyon Lands,paper,0
Colorado River Canyon Lands,slash,0.25
Colorado River Canyon Lands,residue,0.3
Columbia Basin,softwood_lumber,0.389038398239038
Columbia Basin,hardwood_lumber,0.00726364890726365
Columbia Basin,plywood,0.0181125391681125
Columbia Basin,osb,0
Columbia Basin,nonstructural_panels,0.000810743850810744
Columbia Basin,misc,0.00806161905806162
Columbia Basin,paper,0.0267130507767131
Columbia Basin,slash,0.25
Columbia Basin,residue,0.3
Cross Timbers and Prairie,softwood_lumber,0.10601586495
Cross Timbers and Prairie,hardwood_lumber,0.20144737215
Cross Timbers and Prairie,plywood,0.01094378895
Cross Timbers and Prairie,osb,0
Cross Timbers and Prairie,nonstructural_panels,0
Cross Timbers and Prairie,misc,0.13159297395
Cross Timbers and Prairie,paper,0
Cross Timbers and Prairie,slash,0.25
Cross Timbers and Prairie,residue,0.3
Eastern Broadleaf Forest Cumberland Plateau & Valley,softwood_lumber,0.04438701225
Eastern Broadleaf Forest Cumberland Plateau & Valley,hardwood_lumber,0.2925534294
Eastern Broadleaf Forest Cumberland Plateau & Valley,plywood,0.0007417386
Eastern Broadleaf Forest Cumberland Plateau & Valley,osb,0.0001997766
Eastern Broadleaf Forest Cumberland Plateau & Valley,nonstructural_panels,0.0166311459
Eastern Broadleaf Forest Cumberland Plateau & Valley,misc,0.06562465245
Eastern Broadleaf Forest Cumberland Plateau & Valley,paper,0.0298622448
Eastern Broadleaf Forest Cumberland Plateau & Valley,slash,0.25
Eastern Broadleaf Forest Cumberland Plateau & Valley,residue,0.3
Eastern Cascades,softwood_lumber,0.357415635242584
Eastern Cascades,hardwood_lumber,0.00251389169748611
Eastern Cascades,plywood,0.0445774036054226
Eastern Cascades,osb,0
Eastern Cascades,nonstructural_panels,0.000120282749879717
Eastern Cascades,misc,0.00166028714833971
Eastern Cascades,paper,0.0437124995562875
Eastern Cascades,slash,0.25
Eastern Cascades,residue,0.3
Eastern Great Plains,softwood_lumber,0.0008708004008708
